species,Protein Count
Escherichia coli,72711
Streptococcus thermophilus,1020
Lactobacillus gasseri,293
Yersinia enterocolitica,6042
Pseudomonas aeruginosa,19001
Acholeplasma laidlawii,18
Spiroplasma citri,25
Xanthomonas campestris,789
Bacillus subtilis,18850
Chlamydia psittaci,29
Streptococcus pneumoniae,1338
Lactococcus lactis,63905
Mycobacterium tuberculosis,2793
Methanobacterium thermoautotrophicum,63
Mycoplasma arthritidis,30
Vibrio cholerae,5673
Chlamydophila pneumoniae,6
Staphylococcus aureus,49671
Vibrio parahaemolyticus,3467
Salmonella enterica,177232
Mycoplasmopsis pulmonis,22
Bdellovibrio bacteriovorus,205
Mycobacterium smegmatis,106386
Myxococcus xanthus,172
Listeria monocytogenes,6724
Pseudomonas syringae,5385
Burkholderia thailandensis,329
Haemophilus influenzae,37
Rhizobium meliloti,2305
Sinorhizobium meliloti,2305
Halorubrum coriense,126
Mycobacterium avium,940
Shigella flexneri,4468
Propionibacterium freudenreichii,1473
Clostridium perfringens,1205
Natrialba magadii,94
Lactobacillus casei,2094
Burkholderia cepacia,630
Vibrio harveyi,3183
Thermus thermophilus,755
Streptococcus pyogenes,514
Pseudomonas putida,1643
Rhodothermus marinus,146
Yersinia pestis,962
Bacillus cereus,8606
Actinobacillus actinomycetemcomitans,67
Salmonella typhi,2896
Salmonella typhimurium,2631
Xanthomonas oryzae,431
Streptococcus mitis,56
Ralstonia pickettii,9
Aeromonas salmonicida,33180
Bacillus thuringiensis,7909
Aeromonas hydrophila,25902
Burkholderia cenocepacia,2126
Burkholderia pseudomallei,612
Streptomyces venezuelae,681
Lactobacillus johnsonii,152
Bordetella bronchiseptica,493
Klebsiella oxytoca,350
Bacillus clarkii,59
Lactobacillus plantarum,5793
Listonella pelagia,94
Stenotrophomonas maltophilia,1738
Chlamydophila abortus,16
Lactobacillus rhamnosus,213
Clostridium botulinum,198
Bacillus anthracis,914
Sodalis glossinidius,165
Clostridium difficile,1419
Streptomyces aureofaciens,52
Pasteurella multocida,712
Mannheimia haemolytica,590
Chlamydia pecorum,8
Ralstonia solanacearum,1636
Streptococcus suis,731
Staphylococcus epidermidis,1731
Erwinia amylovora,13545
Burkholderia ambifaria,233
Streptococcus dysgalactiae,384
Propionibacterium acnes,28788
Aeromonas media,90
Lactobacillus delbrueckii,9016
Actinomyces naeslundi,22
Actinomyces naeslundii,22
Corynebacterium glutamicum,207
Streptococcus equi,212
Enterococcus faecalis,8180
Spiroplasma kunkelii,13
Thalassomonas loyana,94
Mycolicibacterium smegmatis,1011
Halomonas aquamarina,46
Azospirillum brasilense,95
Pseudomonas chlororaphis,2310
Streptococcus gordonii,60
Morganella morganii,300
Bacteroides fragilis,160
Clostridioides difficile,150
Kluyvera cryocrescens,48
Lactobacillus jensenii,47
Ruegeria pomeroyi,821
Streptococcus oralis,216
Burkholderia pyrrocinia,204
Aggregatibacter actinomycetemcomitans,66
Xylella fastidiosa,1794
Pseudomonas fluorescens,2323
Klebsiella pneumoniae,55592
Shigella boydii,1521
Delftia acidovorans,472
Clavibacter michiganensis,3952
Streptomyces avermitilis,272
Shigella sonnei,3865
Acinetobacter johnsonii,1502
Tsukamurella paurometabola,163
Brochothrix thermosphacta,656
Campylobacter jejuni,5745
Roseobacter denitrificans,327
Pantoea agglomerans,699
Gordonia terrae,17710
Salmonella enteritidis,1474
Rhodobacter capsulatus,457
Helicobacter pylori,182
Nocardia brasiliensis,136
Rhodococcus globerulus,134
Rhodococcus rhodochrous,40
Rhodococcus equi,1702
Rhodococcus erythropolis,1402
Pseudomonas tolaasii,292
Erwinia pyrifoliae,534
Cronobacter sakazakii,6157
Xanthomonas vesicatoria,176
Acinetobacter baumannii,6956
Thermoanaerobacterium saccharolyticum,114
Weissella cibaria,98
Leuconostoc mesenteroides,2910
